Date,Price,Open,High,Low,Vol.,Change %,,,,,
3/1/2024,2305%,22.7,23.1,22.65,9.53M,1,32%,,,,
2/29/2024,2275%,22.95,23.1,22.6,9.69M,0,66%,,,,
2/28/2024,2290%,23,23.15,22.7,8.26M,0,22%,,,,
2/27/2024,2285%,22.55,23.3,22.5,16.21M,1,78%,,,,
2/26/2024,2245%,22.15,22.5,22.1,8.02M,0,45%,,,,
2/23/2024,2235%,22.6,22.85,22.15,12.86M,0,89%,,,,
2/22/2024,2255%,22.7,22.8,22.55,9.09M,0,66%,,,,
2/21/2024,2270%,23.05,23.1,22.6,14.28M,-1,52%,,,,
2/20/2024,2305%,23.3,23.35,23,8.64M,-1,7%,,,,
2/19/2024,2330%,23.35,23.65,22.9,15.25M,0,21%,,,,
2/16/2024,2335%,23.4,23.5,23.2,7.21M,0,21%,,,,
2/15/2024,2340%,23.45,23.9,23.3,11.81M,0,65%,,,,
2/7/2024,2325%,23.1,23.35,23.1,7.67M,0,65%,,,,
2/6/2024,2310%,23.15,23.4,23.1,7.14M,0,0%,,,,
2/5/2024,2310%,23,23.2,22.9,6.95M,0,87%,,,,
2/2/2024,2290%,22.9,23.3,22.8,10.09M,0,0%,,,,
2/1/2024,2290%,22.7,22.95,22.65,7.38M,0,0%,,,,
1/31/2024,2290%,22.95,23.15,22.6,13.00M,-1,8%,,,,
1/30/2024,2315%,22.85,23.15,22.6,9.39M,1,31%,,,,
1/29/2024,2285%,23.45,23.5,22.8,22.50M,-2,97%,,,,
1/26/2024,2355%,23.15,23.7,23.15,14.84M,1,95%,,,,
1/25/2024,2310%,22.9,23.3,22.65,12.70M,1,9%,,,,
1/24/2024,2285%,22.85,23.05,22.8,10.34M,0,0%,,,,
1/23/2024,2285%,23.1,23.2,22.8,6.17M,0,87%,,,,
1/22/2024,2305%,22.6,23.3,22.55,25.15M,2,44%,,,,
1/19/2024,2250%,22.75,22.75,22.35,8.76M,0,22%,,,,
1/18/2024,2255%,22.65,22.95,22.4,12.37M,0,22%,,,,
1/17/2024,2260%,22.95,23,22.45,12.90M,-1,31%,,,,
1/16/2024,2290%,21.6,22.9,21.45,19.79M,6,2%,,,,
1/15/2024,2160%,21.85,22,21.6,5.88M,0,46%,,,,
1/12/2024,2170%,21.8,22.1,21.5,12.53M,-1,81%,,,,
1/11/2024,2210%,21.8,22.15,21.8,10.39M,1,84%,,,,
1/10/2024,2170%,21.9,21.95,21.3,19.60M,0,91%,,,,
1/9/2024,2190%,22.35,22.4,21.8,16.85M,-2,1%,,,,
1/8/2024,2235%,22.45,22.6,22.25,10.81M,0,0%,,,,
1/5/2024,2235%,22.45,22.55,22.15,9.18M,0,45%,,,,
